Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
ACTA NUMERICA,ACTA NUMER,UNITED STATES,X,,,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,DENMARK,X,,,
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,PEOPLES R CHINA,X,,,
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,ENGLAND,X,,,
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,NETHERLANDS,X,,,
ACTA OECONOMICA,ACTA OECON,HUNGARY,,X,,
ACTA ONCOLOGICA,ACTA ONCOL,ENGLAND,X,,,
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,DENMARK,X,,,
ACTA OPTICA SINICA,ACTA OPT SIN,PEOPLES R CHINA,,,,X
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ORIENT ACAD SCI,HUNGARY,,,X,
ACTA ORNITHOLOGICA,ACTA ORNITHOL,POLAND,X,,,
ACTA ORTHOPAEDICA,ACTA ORTHOP,ENGLAND,X,,,
ACTA ORTHOPAEDICA BELGICA,ACTA ORTHOP BELG,BELGIUM,X,,,
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,ACTA ORTHOP TRAUMATO,TURKEY,X,,,
ACTA ORTOPEDICA BRASILEIRA,ACTA ORTOP BRAS,BRAZIL,X,,,
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,NORWAY,X,,,
ACTA OTO-LARYNGOLOGICA CASE REPORTS,ACTA OTO-LARYNGOL CA,ENGLAND,,,,X
ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,ITALY,X,,,
ACTA OTORRINOLARINGOLOGICA ESPANOLA,ACTA OTORRINOLAR ESP,SPAIN,,,,X
ACTA PAEDIATRICA,ACTA PAEDIATR,DENMARK,X,,,
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,POLAND,X,,,
ACTA PARASITOLOGICA,ACTA PARASITOL,POLAND,X,,,
ACTA PAULISTA DE ENFERMAGEM,ACTA PAUL ENFERM,BRAZIL,X,X,,
ACTA PEDIATRICA DE MEXICO,ACTA PEDIATR MEX,MEXICO,,,,X
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,PEOPLES R CHINA,X,,,
ACTA PHARMACEUTICA SINICA B,ACTA PHARM SIN B,PEOPLES R CHINA,X,,,
ACTA PHARMACEUTICA,ACTA PHARMACEUT,CROATIA,X,,,
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,PEOPLES R CHINA,X,,,
ACTA PHILOSOPHICA,ACTA PHILOS,ITALY,,,X,
ACTA PHLEBOLOGICA,ACTA PHLEBOL,ITALY,,,,X
ACTA PHOTONICA SINICA,ACTA PHOTONICA SINIC,PEOPLES R CHINA,,,,X
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,POLAND,X,,,
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,POLAND,X,,,
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,PEOPLES R CHINA,X,,,
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,PEOPLES R CHINA,X,,,
ACTA PHYSIOLOGICA,ACTA PHYSIOL,ENGLAND,X,,,
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,GERMANY,X,,,
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,ACTA PHYTOTAX GEOBOT,JAPAN,X,,,
ACTA POETICA,ACTA POETICA,MEXICO,,,,X
ACTA POLONIAE HISTORICA,ACTA POL HIST,POLAND,,,X,
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,POLAND,X,,,
ACTA POLITICA,ACTA POLIT,NETHERLANDS,,X,,
ACTA POLYMERICA SINICA,ACTA POLYM SIN,PEOPLES R CHINA,X,,,
ACTA POLYTECHNICA,ACTA POLYTECH,CZECH REPUBLIC,,,,X
ACTA POLYTECHNICA HUNGARICA,ACTA POLYTECH HUNG,HUNGARY,X,,,
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,POLAND,X,,,
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,ACTA PSIQUIAT PSICOL,ARGENTINA,,,,X
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,ENGLAND,X,X,,
ACTA PSYCHOLOGICA,ACTA PSYCHOL,NETHERLANDS,,X,,
ACTA PSYCHOLOGICA SINICA,ACTA PSYCHOL SIN,PEOPLES R CHINA,,,,X
ACTA RADIOLOGICA,ACTA RADIOL,ENGLAND,X,,,
ACTA RADIOLOGICA OPEN,ACTA RADIOL OPEN,NORWAY,,,,X
ACTA REUMATOLOGICA PORTUGUESA,ACTA REUMATOL PORT,PORTUGAL,X,,,
ACTA SCIENTIARUM MATHEMATICARUM,ACTA SCI MATH,HUNGARY,,,,X
ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS,ACTA SCI POL-FORM C,POLAND,,,,X
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,ACTA SCI POL-HORTORU,POLAND,X,,,
ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,ACTA SCI POLON-TECHN,POLAND,,,,X
ACTA SCIENTIAE VETERINARIAE,ACTA SCI VET,BRAZIL,X,,,
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,BRAZIL,X,,,
ACTA SCIENTIARUM-HEALTH SCIENCES,ACTA SCI-HEALTH SCI,BRAZIL,,,,X
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,BRAZIL,X,,,
ACTA SILVAE ET LIGNI,ACTA SILVAE LIGNI,SLOVENIA,,,,X
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,POLAND,X,,,
ACTA SOCIOLOGICA,ACTA SOCIOL,ENGLAND,,X,,
ACTA STOMATOLOGICA CROATICA,ACTA STOMATOL CROAT,CROATIA,,,,X
ACTA STRUCTILIA,ACTA STRUCTILIA,SOUTH AFRICA,,,,X
ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING,ACTA TECH NAPOC SER-,ROMANIA,,,,X
ACTA TECHNOLOGICA AGRICULTURAE,ACTA TECHNOL AGR,SLOVAKIA,,,,X
ACTA THEOLOGICA,ACTA THEOL,SOUTH AFRICA,,,X,
ACTA TROPICA,ACTA TROP,NETHERLANDS,X,,,
ACTA TURISTICA,ACTA TURISTICA,CROATIA,,,,X
ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,ACTA U SAPIEN INFORM,ROMANIA,,,,X
ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,ACTA U SAPIENTIAE-FI,ROMANIA,,,,X
ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA,ACTA U SAPIENTIAE-MA,ROMANIA,,,,X
ACTA VETERINARIA BRNO,ACTA VET BRNO,CZECH REPUBLIC,X,,,
ACTA VETERINARIA EURASIA,ACTA VET EURASIA,TURKEY,,,,X
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,HUNGARY,X,,,
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,DENMARK,X,,,
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,POLAND,X,,,
ACTA VIROLOGICA,ACTA VIROL,SLOVAKIA,X,,,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,HUNGARY,X,,,
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,BULGARIA,X,,,
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,ENGLAND,X,,,
ACTAS DERMO-SIFILIOGRAFICAS,ACTAS DERMO-SIFILOGR,SPAIN,,,,X
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,SPAIN,X,,,
ACTAS UROLOGICAS ESPANOLAS,ACTAS UROL ESP,SPAIN,X,,,
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,FRANCE,,X,,
ACTION LEARNING,ACTION LEARN,ENGLAND,,,,X
ACTION RESEARCH,ACTION RES-LONDON,ENGLAND,,X,,
ACTIVITES-REVUE ELECTRONIQUE,ACTIVITIES,FRANCE,,,,X
ACTUALIDAD CONTABLE FACES,ACTUAL CONTAB FACES,VENEZUELA,,,,X
ACTUALITE ECONOMIQUE,ACTUAL ECON,CANADA,,,,X
ACTUALIDAD JURIDICA AMBIENTAL,ACTUAL JURID AMBIENT,SPAIN,,,,X
ACTUALIZACIONES EN OSTEOLOGIA,ACTUAL OSTEOL,ARGENTINA,,,,X
ACTUALIDADES PEDAGOGICAS,ACTUAL PEDAGOG,COLOMBIA,,,,X
ACTUALITES PHARMACEUTIQUES,ACTUAL PHARMACEUT,FRANCE,,,,X
ACTUALIDADES EN PSICOLOGIA,ACTUAL PSICOL,COSTA RICA,,,,X
ACTUATORS,ACTUATORS,SWITZERLAND,X,,,
ACUPUNCTURE IN MEDICINE,ACUPUNCT MED,ENGLAND,X,,,
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,UNITED STATES,X,,,
ACUTE AND CRITICAL CARE,ACUTE CRIT CARE,SOUTH KOREA,,,,X
ACUTE MEDICINE & SURGERY,ACUTE MED SURG,UNITED STATES,,,,X
AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH,AD ALTA-INTERDISCIP,CZECH REPUBLIC,,,,X
ADVANCES IN ENVIRONMENTAL RESEARCH-AN INTERNATIONAL JOURNAL,AD ENVIRON RES,SOUTH KOREA,,,,X
AD HOC NETWORKS,AD HOC NETW,NETHERLANDS,X,,,
AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,UNITED STATES,X,,,
ADALYA,ADALYA,TURKEY,,,X,
ADANSONIA,ADANSONIA,FRANCE,X,,,
ADAPTIVE BEHAVIOR,ADAPT BEHAV,ENGLAND,X,X,,
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,ADAPT HUM BEHAV PHYS,GERMANY,,,,X
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,UNITED STATES,X,,,
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,ADAPTATION-UK,ENGLAND,,,X,
ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,ADCAIJ-ADV DISTRIB C,SPAIN,,,,X
ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,ADCOMUNICA,SPAIN,,,,X
ADDICTIVE BEHAVIORS,ADDICT BEHAV,ENGLAND,X,X,,
ADDICTION BIOLOGY,ADDICT BIOL,ENGLAND,X,,,
ADDICTIVE DISORDERS & THEIR TREATMENT,ADDICT DISORD TREAT,UNITED STATES,,,,X
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,ENGLAND,,X,,
ADDICTION SCIENCE & CLINICAL PRACTICE,ADDICT SCI CLIN PRAC,ENGLAND,X,X,,
ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS,ADDICTA,TURKEY,,,,X
ADDICTION,ADDICTION,ENGLAND,X,X,,
ADDITIVE MANUFACTURING,ADDIT MANUF,NETHERLANDS,X,,,
ADELAIDE LAW REVIEW,ADEL LAW REV,AUSTRALIA,,,,X
ADEPTUS,ADEPTUS,POLAND,,,,X
ADICCIONES,ADICCIONES,SPAIN,X,X,,
ADIPOCYTE,ADIPOCYTE,UNITED STATES,X,,,
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,UNITED STATES,,X,,
ADMINISTRACAO PUBLICA E GESTAO SOCIAL,ADM PUBLICA GEST SOC,BRAZIL,,,,X
ADMINISTRATIVE SCIENCES,ADM SCI,SWITZERLAND,,,,X
ADMET AND DMPK,ADMET DMPK,CROATIA,,,,X
ADMINISTRATIVE LAW REVIEW,ADMIN LAW REV,UNITED STATES,,X,,
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,UNITED STATES,,X,,
ADMINISTRATION & SOCIETY,ADMIN SOC,UNITED STATES,,X,,
AD-MINISTER,AD-MINIST,COLOMBIA,,,,X
ADMINISTRACAO-ENSINO E PESQUISA,ADMINISTRACAO,BRAZIL,,,,X
ADMINISTRATION,ADMINSTRATION,POLAND,,,,X
ADOLESCENT PSYCHIATRY,ADOLES PSYCHIAT-NETH,NETHERLANDS,,,,X
ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS,ADOLESC HEALTH MED T,NEW ZEALAND,,,,X
ADOLESCENT RESEARCH REVIEW,ADOLESC RES REV,SWITZERLAND,,X,,
ADOPTION AND FOSTERING,ADOPT FOSTER,ENGLAND,,,,X
ADOPTION QUARTERLY,ADOPT Q,UNITED STATES,,,,X
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,UNITED STATES,X,,,
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,UNITED STATES,X,,,
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,UNITED STATES,,X,,
ADULT LEARNING,ADULT LEARN,UNITED STATES,,,,X
ADULTSPAN JOURNAL,ADULTSPAN J,UNITED STATES,,,,X
ADVANCES IN ACCOUNTING,ADV ACCOUNT,NETHERLANDS,,,,X
ADVANCES IN AERODYNAMICS,ADV AERODYNAM,PEOPLES R CHINA,,,,X
ADVANCES IN AGRONOMY,ADV AGRON,UNITED STATES,X,,,
ADVANCES IN AIRCRAFT AND SPACECRAFT SCIENCE,ADV AIRCR SPACECR SC,SOUTH KOREA,,,,X
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,ADV ANAT EMBRYOL CEL,UNITED STATES,X,,,
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,UNITED STATES,X,,,
ADVANCES IN APPLIED CERAMICS,ADV APPL CERAM,ENGLAND,X,,,
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,ADV APPL CLIFFORD AL,SWITZERLAND,X,,,
ADVANCES AND APPLICATIONS IN DISCRETE MATHEMATICS,ADV APPL DISCRET MAT,INDIA,,,,X
ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,UNITED STATES,X,,,
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,ADV APPL MATH MECH,HONG KONG,X,,,
ADVANCES AND APPLICATIONS IN MATHEMATICAL SCIENCES,ADV APPL MATH SCI,INDIA,,,,X
ADVANCES IN APPLIED MECHANICS,ADV APPL MECH,UNITED STATES,X,,,
ADVANCES IN APPLIED MICROBIOLOGY,ADV APPL MICROBIOL,UNITED STATES,X,,,
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,ENGLAND,X,,,
ADVANCES AND APPLICATIONS IN STATISTICS,ADV APPL STAT,INDIA,,,,X
ADVANCES IN ARCHAEOLOGICAL PRACTICE,ADV ARCHAEOL PRACT,UNITED STATES,,,X,
ADVANCES IN ASTRONOMY,ADV ASTRON,UNITED STATES,X,,,
ADVANCES IN ASTRONOMY AND SPACE PHYSICS,ADV ASTRON SPACE PHY,UKRAINE,,,,X
ADVANCES IN ATMOSPHERIC SCIENCES,ADV ATMOS SCI,PEOPLES R CHINA,X,,,
ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS,ADV ATOM MOL OPT PHY,UNITED STATES,X,,,
ADVANCES IN AUTISM,ADV AUTISM,ENGLAND,,,,X
ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY,ADV BIOCHEM ENG BIOT,UNITED STATES,X,,,
ADVANCED BIOLOGY,ADV BIOL-GER,GERMANY,X,,,
ADVANCED BIOMEDICAL ENGINEERING,ADV BIOMED ENG,JAPAN,,,,X
ADVANCED BIOMEDICAL RESEARCH,ADV BIOMED RES-INDIA,IRAN,,,,X
ADVANCED BIOSYSTEMS,ADV BIOSYST,GERMANY,X,,,
ADVANCES IN BOTANICAL RESEARCH,ADV BOT RES,UNITED STATES,X,,,
ADVANCES IN BUILDING ENERGY RESEARCH,ADV BUILD ENERGY RES,ENGLAND,,,,X
ADVANCES IN CALCULUS OF VARIATIONS,ADV CALC VAR,GERMANY,X,,,
ADVANCES IN CANCER RESEARCH,ADV CANCER RES,UNITED STATES,X,,,
ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY,ADV CARBOHYD CHEM BI,UNITED STATES,X,,,
ADVANCES IN CATALYSIS,ADV CATAL,UNITED STATES,X,,,
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,ENGLAND,X,,,
ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR,ADV CHILD DEV BEHAV,UNITED STATES,,X,,
ADVANCES IN CHROMATOGRAPHY,ADV CHROMATOGR,UNITED STATES,X,,,
ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,UNITED STATES,X,,,
ADVANCES IN CIVIL ENGINEERING,ADV CIV ENG,UNITED STATES,X,,,
ADVANCES IN CIVIL ENGINEERING MATERIALS,ADV CIV ENG MATER,UNITED STATES,,,,X
ADVANCES IN CLIMATE CHANGE RESEARCH,ADV CLIM CHANG RES,PEOPLES R CHINA,X,,,
ADVANCES IN CLINICAL CHEMISTRY,ADV CLIN CHEM,UNITED STATES,X,,,
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,ADV CLIN EXP MED,POLAND,X,,,
ADVANCES IN COGNITIVE PSYCHOLOGY,ADV COGN PSYCHOL,POLAND,,X,,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,NETHERLANDS,X,,,
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,SINGAPORE,X,,,
ADVANCED COMPOSITES AND HYBRID MATERIALS,ADV COMPOS HYBRID MA,SWITZERLAND,X,,,
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,ENGLAND,X,,,
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,ENGLAND,X,,,
ADVANCES IN COMPUTERS,ADV COMPUT,UNITED STATES,X,,,
"ADVANCES IN COMPUTATIONAL DESIGN, AN INTERNATIONAL JOURNAL",ADV COMPUT DES,SOUTH KOREA,,,,X
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,NETHERLANDS,X,,,
ADVANCES IN CONCRETE CONSTRUCTION,ADV CONCR CONSTR,SOUTH KOREA,X,,,
ADVANCES IN CONDENSED MATTER PHYSICS,ADV COND MATTER PHYS,UNITED STATES,X,,,
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,ADV DATA ANAL CLASSI,GERMANY,X,,,
ADVANCES IN DATA SCIENCE AND ADAPTIVE ANALYSIS,ADV DATA SCI ADAPT,SINGAPORE,,,,X
ADVANCES IN DEVELOPING HUMAN RESOURCES,ADV DEV HUM RESOUR,UNITED STATES,,,,X
ADVANCES IN DIFFERENTIAL EQUATIONS AND CONTROL PROCESSES,ADV DIFFER EQU CONTR,INDIA,,,,X
ADVANCES IN DIFFERENCE EQUATIONS,ADV DIFFER EQU-NY,UNITED STATES,X,,,
ADVANCES IN DIFFERENTIAL EQUATIONS,ADV DIFFERENTIAL EQU,UNITED STATES,X,,,
ADVANCES IN DIGESTIVE MEDICINE,ADV DIG MED,ENGLAND,,,,X
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,NETHERLANDS,X,,,
ADVANCES IN DUAL DIAGNOSIS,ADV DUAL DIAGN,ENGLAND,,,,X
ADVANCES IN ECOLOGICAL RESEARCH,ADV ECOL RES,UNITED STATES,X,,,
ADVANCED EDUCATION,ADV EDUC,UKRAINE,,,,X
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ADV ELECTR COMPUT EN,ROMANIA,X,,,
ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,ADV ELECTR ELECTRON,CZECH REPUBLIC,,,,X
ADVANCED ELECTROMAGNETICS,ADV ELECTROMAGN,FRANCE,,,,X
ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,GERMANY,X,,,
ADVANCED EMERGENCY NURSING JOURNAL,ADV EMERG NURS J,UNITED STATES,,,,X
ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,GERMANY,X,,,
ADVANCES IN ENERGY RESEARCH,ADV ENERGY RES,SOUTH KOREA,,,,X
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,ENGLAND,X,,,
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,GERMANY,X,,,
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,ENGLAND,X,,,
ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,ADV EXP MED BIOL,UNITED STATES,X,,,
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,ADV EXP SOC PSYCHOL,UNITED STATES,,X,,
ADVANCED FIBER MATERIALS,ADV FIBER MATER,PEOPLES R CHINA,X,,,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,GERMANY,X,,,
ADVANCES IN FUZZY SYSTEMS,ADV FUZZY SYST,UNITED STATES,,,,X
ADVANCES IN GENETICS,ADV GENET,UNITED STATES,X,,,
ADVANCES IN GEOMETRY,ADV GEOM,GERMANY,X,,,
ADVANCES IN GERONTOLOGY,ADV GERONTOL,RUSSIA,,,,X
ADVANCES IN GROUP THEORY AND APPLICATIONS,ADV GROUP THEOR APPL,ITALY,,,,X
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,UNITED STATES,X,X,,
ADVANCED HEALTHCARE MATERIALS,ADV HEALTHC MATER,ENGLAND,X,,,
ADVANCES IN HETEROCYCLIC CHEMISTRY,ADV HETEROCYCL CHEM,UNITED STATES,X,,,
ADVANCES IN HIGH ENERGY PHYSICS,ADV HIGH ENERGY PHYS,UNITED STATES,X,,,
ADVANCES IN HOSPITALITY AND TOURISM RESEARCH-AHTR,ADV HOSP TOUR RES-AH,TURKEY,,,,X
ADVANCES IN HUMAN BIOLOGY,ADV HUM BIOL,INDIA,,,,X
ADVANCES IN HUMAN-COMPUTER INTERACTION,ADV HUM-COMPUT INTER,UNITED STATES,,,,X
ADVANCES IN IMMUNOLOGY,ADV IMMUNOL,UNITED STATES,X,,,
ADVANCES IN INORGANIC CHEMISTRY,ADV INORG CHEM,UNITED STATES,X,,,
ADVANCES IN INSECT PHYSIOLOGY,ADV INSECT PHYSIOL,UNITED STATES,X,,,
ADVANCES IN INTEGRATIVE MEDICINE,ADV INTEGR MED,NETHERLANDS,,,,X
ADVANCED INTELLIGENT SYSTEMS,ADV INTELL SYST-GER,GERMANY,X,,,
ADVANCED JOURNAL OF EMERGENCY MEDICINE,ADV J EMERG MED,IRAN,,,,X
ADVANCES IN LIFE COURSE RESEARCH,ADV LIFE COURSE RES,ENGLAND,,X,,
ADVANCEMENTS IN LIFE SCIENCES,ADV LIFE SCI-PAK,PAKISTAN,,,,X
ADVANCES IN MANUFACTURING,ADV MANUF,PEOPLES R CHINA,X,,,
ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE,ADV MANUF-POLYM COMP,ENGLAND,,,,X
ADVANCES IN MARINE BIOLOGY,ADV MAR BIOL,UNITED STATES,X,,,
ADVANCED MATERIALS,ADV MATER,GERMANY,X,,,
ADVANCED MATERIALS INTERFACES,ADV MATER INTERFACES,GERMANY,X,,,
ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,UNITED STATES,X,,,
ADVANCES IN MATERIALS AND PROCESSING TECHNOLOGIES,ADV MATER PROCESS TE,ENGLAND,,,,X
ADVANCES IN MATERIALS RESEARCH-AN INTERNATIONAL JOURNAL,ADV MATER RES-KR,SOUTH KOREA,,,,X
ADVANCES IN MATERIALS SCIENCE,ADV MATER SCI,POLAND,,,,X
ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,ADV MATER SCI ENG,UNITED STATES,X,,,
ADVANCED MATERIALS TECHNOLOGIES,ADV MATER TECHNOL-US,UNITED STATES,X,,,
ADVANCES IN MATHEMATICS,ADV MATH,UNITED STATES,X,,,
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,ADV MATH COMMUN,UNITED STATES,X,,,
ADVANCES IN MATHEMATICAL PHYSICS,ADV MATH PHYS,UNITED STATES,X,,,
ADVANCES IN MECHANICAL ENGINEERING,ADV MECH ENG,ENGLAND,X,,,
ADVANCES IN MEDICAL EDUCATION AND PRACTICE,ADV MED EDUC PRACT,ENGLAND,,,,X
ADVANCES IN MEDICAL SCIENCES,ADV MED SCI-POLAND,POLAND,X,,,
ADVANCES IN MENTAL HEALTH,ADV MENT HEALTH,AUSTRALIA,,,,X
ADVANCES IN MENTAL HEALTH AND INTELLECTUAL DISABILITIES,ADV MENT HEALTH INTE,ENGLAND,,,,X
ADVANCES IN METEOROLOGY,ADV METEOROL,UNITED STATES,X,,,
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,ADV METH PRACT PSYCH,UNITED STATES,X,X,,
ADVANCES IN MICROBIAL PHYSIOLOGY,ADV MICROB PHYSIOL,UNITED STATES,X,,,
ADVANCEMENTS OF MICROBIOLOGY,ADV MICROBIOL-NY,POLAND,X,,,
ADVANCES IN MULTIMEDIA,ADV MULTIMED,UNITED STATES,,,,X
ADVANCES IN NANO RESEARCH,ADV NANO RES,SOUTH KOREA,X,,,
ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,ADV NAT SCI-NANOSCI,ENGLAND,,,,X
ADVANCES IN NEONATAL CARE,ADV NEONAT CARE,UNITED STATES,X,X,,
ADVANCES IN NONLINEAR ANALYSIS,ADV NONLINEAR ANAL,GERMANY,X,,,
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,UNITED STATES,X,,,
ADVANCES IN NURSING SCIENCE,ADV NURS SCI,UNITED STATES,X,X,,
ADVANCES IN NUTRITION,ADV NUTR,UNITED STATES,X,,,
ADVANCES IN OPERATIONS RESEARCH,ADV OPER RES,UNITED STATES,,,,X
ADVANCES IN OPERATOR THEORY,ADV OPER THEORY,SWITZERLAND,,,,X
ADVANCED OPTICAL MATERIALS,ADV OPT MATER,GERMANY,X,,,
ADVANCES IN OPTICS AND PHOTONICS,ADV OPT PHOTONICS,UNITED STATES,X,,,
ADVANCED OPTICAL TECHNOLOGIES,ADV OPT TECHNOL,GERMANY,,,,X
ADVANCES IN ORGANOMETALLIC CHEMISTRY,ADV ORGANOMET CHEM,UNITED STATES,X,,,
ADVANCES IN ORTHOPEDICS,ADV ORTHOP,UNITED STATES,,,,X
ADVANCES IN PARASITOLOGY,ADV PARASIT,UNITED STATES,X,,,
ADVANCED PHARMACEUTICAL BULLETIN,ADV PHARM BULL,IRAN,,,,X
ADVANCES IN PHARMACOLOGICAL AND PHARMACEUTICAL SCIENCES,ADV PHARM PHARM SCI,ENGLAND,,,,X
ADVANCES IN PHARMACOLOGY AND PHARMACY,ADV PHARMACOL PHARM,UNITED STATES,,,,X
ADVANCES IN PHARMACOLOGICAL SCIENCES,ADV PHARMACOL SCI,UNITED STATES,,,,X
ADVANCED PHOTONICS,ADV PHOTONICS,PEOPLES R CHINA,X,,,
ADVANCES IN PHYSICS,ADV PHYS,ENGLAND,X,,,
